Times,DRYCRK02,ENISH04,CHQSTCR01,BRSHYCR01,INDIAN02,SOAPCR02,HONEYCR01,ENDWY01,RLSTNCR01,BNNTTCR01,BVRCR01,TIPTNCR01,SQWCR03,SSKNK04,LAKECR01,CRANECR02,YELLOWRV01,TKYRV03,LTLTKY02,PRICECR01,CLRCRK03,WNBGORV01,POUDRERV01,DRYCR02,SKKMCHCK01,ONIONCR01,HRGVCR01,CLRCRKW01,BFFLOCR02,MDCRK01,CRANECR01,OTTERCR01,BLUECR01,MDDLRCCN02,MDDLRCCN03,BEARCRK01,NFCTFSH01,RAVENCR01,CHSLSCR01,WNISH03,NBEARCR01,ENISH05,WFLTLSIOUX01,INDCR03,SHLRK01,SHLRK03,CHQSTCR02,BEVRCRK01,LTLSIOUX04,WLLWCR02,DEERCR01,SHLRK04,OTTRCRK03,OTTRCRK04,SQWCR04,LTLCEDAR02,RHNCR01,SENGLSH01,WNBGORV04,PRICECR02,SFIOWA03,SCHQSTCR01,WNBGORV06,MAPLERV02,DEEPCRK01,OTTRCRK01,INDCR04,FLOYDRV02,PRAIRIE01,FOURMLE03,BEARCREEK01,LNGDCKCR01,MNTGMRY01,NWLNTCR02,CEDARRV04,DRYRNCRK01,INDCR01,LTLWLNT01,CLRCRKS01,WLNTCR02,BFFLOCR01,EFDSMNS01,SBVRCRK01,TRBLSM01,SOAPCR03,UIWARV01,HOOSRCR01,BOONERV01,CLRCRK02,DRYCR01,CEDARRV03,ELKRN01,CEDARRV05,MQKTARV02,DRYCRK01,TIPTNCR02,VLGARV01,RBRTSCR01,SHLRK05,NRCCNRV03,FOURMLE02,LTLSIOUX01,WNISH02,MRGNCR01,TKYRV01,WNBGORV05,SOAPCR01,INDIAN01,MDDLRCCN01,TKYRV02,BEAVER03,WAPSI03,MQKTARV05,MILLERCRK01,SKNKRV01,BRCHFLD01,LTLCEDAR01,LIMECR01,SSKNK03,OTTRCRK02,WNBGORV02,LTLWAPSI01,HEWITTCR01,BEAR01,NFMQKTA02,WOLFCRK01,MQKTARV03,ENISH02,IOWARV01,BEVRCRK02,WALNUTCR01,MUDCR01,CDRCR01,WLLWCR01,WAPSI04,BEAVER01,SQWCR02,RAPIDTRB01,SQWCR01,WLLWCR-IC01,LTLSOAP01,WLNTCR01,COFFINSCR01,WNISH01,EBRBVRDAM01,INDCR02,WFCRKDCR01,EINDNCR01,LTLSIOUX03,NSKNK01,SFIOWA01,SLVRCR01,WLFCR01,WNBGORV03,NWLNTCR01,VLGARV02,ENISH01,LTLTKY01,NENGLSH01,WATERMAN01,CLRCRKS02,SHLRK02,KEGCR01,LTLSIOUX02,SSKNK02,DUCKCR01,SSKNK01,DSMNSRV04,NORTHRV01,NFMQKTA01,HNYCRK01,SUGARCR01,SPRNGCRK01,VLGARV03,BEAVER02,DRNGDTCH01,GRANCRK01,SPRINGCR01,LTLASHER01,COONCR01,DYECRK01,BOYERRV02,MADCRK01,FOURMLE01,CEDARCRK01,OCHYDNRV01,WAPSI02,MCHKNCK01,MQKTARV01,MUDCRK01,MQKTARV04,GRNGRCR01,DSMNSRV02,NRCCNRV02,MSQUTOCR02,SRCCNRV01,MADCRK02,WFKLTSIOUX01,WAPSI05,BRCKCMP01,SLOUGHCR01,ROCKCR02,CLRCRK01,BEAVERCRK01,MAPLERV01,ROGERSCR01,NRCCNRV01,PRAIRIECRK01,RCCNRV01,DSMNSRV01,DSMNSRV03,LTLSIOUX05,CTFSHCR01,WLNTCRK01,ROCKCR01,WBFLOYDRV01,BOYERRV01,CAMPCR01,CEDARRV02,RAPIDCR01,GENEVACR01,MSQUTOCR01
20:00:13-05,843.31,1049.42,620.27,1189.44,1058.06,707.6,667.73,966,651.89,827.33,909.81,1010.66,929.57,975.08,1104.2,1141.79,965.72,1121.12,1118.55,710.48,755.98,1043.25,5099.42,776.72,205.07,955.33,983.15,748.22,729.25,1026.27,985.85,741.99,763.4,1123.46,1196.3,738.35,690.48,823.99,1136.22,1170.05,804.26,1173.46,1129.98,769.65,916.55,949,669.35,968.37,1366.46,1110.76,675.99,1054,976.48,1082.4,970.8,1073.28,729.05,686.41,1152.45,763.75,1125.89,666.41,1209.64,1253.24,665.32,793.3,811.09,1367.23,960.56,907.24,954.95,991.7,965.4,834.14,1096.82,844.87,698.23,897.52,739.09,862.16,701.52,1091.05,1087.17,1185.89,768.84,885.13,711.57,1078.3,711.7,737.02,922.75,847.49,1130.84,839.76,810.32,1084.44,777.77,749.26,1125.84,1194.53,824.07,1162.51,1017.26,726.54,758.34,1193.86,634.28,1038.86,910.1,817.2,1082.55,709.85,967.1,821.06,600.14,1045.9,947.79,786.86,878.34,884.2,1062.53,1089.13,932.25,928.32,921.61,1043.92,896.46,947.33,617.62,1081.18,756.69,770.6,731.98,1101.51,738.1,1002.07,888.46,750.98,872.33,1,645.63,840.09,966.78,912.91,1106.52,730.66,660.83,885.96,1319.87,809.87,1091.69,1006.14,805.32,1110.54,825.75,847.27,917.52,936.18,691.74,1231.78,770.82,928.53,998.73,1303.24,778.41,616.09,745.48,905.19,763.28,808.18,945.88,631.51,1136.3,1084.22,1037.31,947.4,971.06,778.23,946.09,881.73,1021.53,1060,570.55,771.33,667.05,1358.07,665.38,715.15,795.16,816.5,904.81,605.49,887.64,932.99,1078.2,918.42,617,1392.17,811.16,990.35,1094.98,1137.05,699.02,974.65,1199.79,1008.15,896.98,738.99,846.14,869.9,996.05,1387.67,606.22,746.4,1026.69,1244.22,1000.92,812.37,718.21,730.55,587.73,991.78
19:45:12-05,843.32,1049.42,620.27,1189.44,1058.06,707.6,667.73,966.01,651.88,827.33,909.81,1010.66,929.57,975.08,1104.21,1141.79,965.72,1121.11,1118.55,710.49,755.97,1043.25,5101.67,776.71,205.01,955.33,983.14,748.22,729.26,1026.28,985.87,741.99,763.4,1123.45,1196.3,738.35,690.68,823.99,1136.21,1170.04,804.26,1173.45,1129.98,769.64,916.56,949.01,669.35,968.36,1366.42,1110.76,675.99,1054.01,976.47,1082.4,970.8,1073.27,729.05,686.4,1152.44,763.75,1125.88,666.4,1206.6,1253.24,665.33,793.29,811.1,1367.24,960.56,907.23,954.96,991.7,965.4,834.13,1096.81,844.87,698.22,897.52,739.09,862.16,701.51,1091.05,1087.18,1185.85,768.83,885.13,711.56,1078.32,711.69,737.02,922.75,847.49,1130.84,839.77,810.33,1084.44,777.78,749.25,1125.85,1194.54,824.07,1162.5,1017.26,726.54,758.33,1193.88,634.28,1038.85,910.1,817.19,1082.54,709.85,967.1,821.06,600.14,1045.9,947.76,786.86,878.34,884.2,1062.54,1089.12,932.24,928.32,921.6,1043.93,896.44,947.33,617.63,1081.18,756.68,770.6,731.98,1101.51,738.09,1002.07,888.45,750.98,872.32,0,645.63,840.1,966.77,912.9,1106.52,730.65,660.83,885.96,1319.86,809.86,1091.69,1006.14,805.32,1110.54,825.74,847.26,917.53,936.18,691.74,1231.79,770.82,928.53,998.72,1303.24,778.43,616.09,745.47,905.19,763.29,808.17,945.85,631.56,1136.3,1084.21,1037.31,947.4,971.07,778.23,946.09,881.74,1021.53,1060.02,570.55,771.32,667.05,1358.07,665.39,715.16,795.17,816.51,904.81,605.48,887.64,933.01,1078.21,918.4,617,1392.19,811.16,990.34,1094.98,1137.05,699.02,974.63,1199.72,1008.14,896.98,738.98,846.14,869.92,996.09,1387.66,606.21,746.39,1026.68,1244.22,1000.91,812.37,718.22,730.55,587.72,991.77
19:30:11-05,843.3,1049.42,620.27,1189.43,1058.06,707.61,667.73,966.01,651.88,827.32,909.8,1010.65,929.56,975.08,1104.22,1141.79,965.72,1121.12,1118.55,710.46,755.97,1043.23,5099.4,776.71,204.94,955.32,983.15,748.23,729.25,1026.28,985.86,741.99,763.4,1123.45,1196.3,738.36,690.54,823.99,1136.21,1170.03,804.26,1173.44,1129.98,769.65,916.55,948.99,669.35,968.36,1366.43,1110.76,675.98,1054.01,976.47,1082.4,970.79,1073.27,729.05,686.39,1152.45,763.76,1125.88,666.36,1209.62,1253.24,665.33,793.3,811.09,1367.22,960.56,907.23,954.94,991.69,965.4,834.13,1096.79,844.89,698.21,897.52,739.09,862.16,701.52,1091.04,1087.18,1185.86,768.83,885.13,711.57,1078.3,711.71,737.01,922.75,847.5,1130.85,839.76,810.33,1084.44,777.77,749.25,1125.84,1194.54,824.07,1162.5,1017.26,726.54,758.35,1193.89,634.28,1038.84,910.12,817.19,1082.55,709.85,967.1,821.06,600.15,1045.9,947.74,786.86,878.32,884.19,1062.52,1089.13,932.24,928.32,921.59,1043.93,896.45,947.34,617.64,1081.18,756.67,770.59,731.98,1101.51,738.09,1002.07,888.46,750.98,872.32,0,645.63,840.09,966.77,912.9,1106.52,730.65,660.82,885.95,1319.87,809.87,1091.7,1006.14,805.32,1110.54,825.74,847.25,917.54,936.17,691.74,1231.8,770.83,928.54,998.73,1303.24,778.41,616.07,745.47,905.18,763.3,808.18,945.85,631.55,1136.3,1084.21,1037.31,947.4,971.06,778.22,946.09,881.74,1021.53,1060.01,570.54,771.32,667.03,1358.07,665.38,715.16,795.17,816.5,904.8,605.47,887.64,933,1078.2,918.41,616.99,1392.18,811.15,990.35,1094.98,1137.05,699.01,974.65,1199.74,1008.14,896.98,738.98,846.14,869.91,996.07,1387.66,606.2,746.39,1026.68,1244.21,1000.9,812.36,718.23,730.55,587.72,991.77
19:15:10-05,843.31,1049.42,620.26,1189.43,1058.06,707.61,667.73,966.01,651.87,827.32,909.79,1010.66,929.56,975.07,1104.21,1141.79,965.72,1121.1,1118.55,710.33,755.97,1043.25,5099.41,776.71,204.97,955.32,983.16,748.22,729.26,1026.27,985.86,741.98,763.4,1123.45,1196.3,738.35,690.6,823.99,1136.21,1170.05,804.26,1173.46,1129.98,769.64,916.56,948.98,669.35,968.38,1366.44,1110.75,675.98,1054.01,976.47,1082.4,970.8,1073.26,729.05,686.38,1152.46,763.75,1125.88,666.36,1206.6,1253.24,665.35,793.3,811.09,1367.23,960.56,907.24,954.94,991.69,965.4,834.12,1096.81,844.88,698.22,897.51,739.09,862.17,701.51,1091.06,1087.17,1185.88,768.84,885.13,711.56,1078.31,711.73,736.91,922.73,847.51,1130.84,839.75,810.34,1084.44,777.77,749.25,1125.84,1194.53,824.07,1162.5,1017.25,726.54,758.32,1193.89,634.28,1038.86,910.1,817.18,1082.54,709.85,967.09,821.06,600.16,1045.9,947.77,786.85,878.33,884.19,1062.52,1089.13,932.23,928.32,921.61,1043.91,896.44,947.34,617.65,1081.18,756.68,770.61,731.96,1101.51,738.1,1002.07,888.46,750.98,872.32,0,645.62,840.09,966.77,912.91,1106.52,730.65,660.83,885.96,1319.86,809.85,1091.71,1006.15,805.32,1110.52,825.73,847.25,917.53,936.18,691.74,1231.77,770.82,928.51,998.73,1303.25,778.42,616.07,745.47,905.17,763.29,808.18,945.86,631.56,1136.3,1084.21,1037.31,947.4,971.05,778.23,946.09,881.74,1021.53,1060.02,570.53,771.33,667.04,1358.07,665.39,715.15,795.16,816.49,904.79,605.47,887.64,932.99,1078.2,918.41,616.99,1392.18,811.18,990.34,1094.98,1137.04,699.01,974.64,1199.75,1008.14,896.99,738.98,846.14,869.93,995.98,1387.66,606.18,746.39,1026.68,1244.22,1000.9,812.34,718.22,730.55,587.72,991.78
19:00:08-05,843.3,1049.42,620.27,1189.43,1058.06,707.61,667.73,966.01,651.86,827.33,909.8,1010.66,929.56,975.07,1104.21,1141.78,965.72,1121.1,1118.55,710.36,755.97,1043.25,5099.39,776.71,204.85,955.31,983.15,748.22,729.25,1026.28,985.87,741.99,763.41,1123.45,1196.3,738.35,690.53,823.99,1136.21,1170.05,804.26,1173.45,1129.98,769.63,916.56,949,669.36,968.37,1366.42,1110.75,675.98,1054.02,976.47,1082.4,970.8,1073.26,729.05,686.37,1152.45,763.75,1125.87,666.29,1208.12,1253.24,665.32,793.3,811.09,1367.23,960.56,907.24,954.93,991.69,965.4,834.13,1096.8,844.89,698.22,897.51,739.09,862.16,701.52,1091.06,1087.17,1185.86,768.84,885.13,711.56,1078.31,711.75,736.88,922.72,847.5,1130.84,839.76,810.33,1084.44,777.75,749.26,1125.84,1194.53,824.06,1162.5,1017.24,726.54,758.32,1193.88,634.28,1038.86,910.1,817.19,1082.55,709.85,967.09,821.06,600.15,1045.89,947.77,786.85,878.34,884.19,1062.53,1089.13,932.25,928.32,921.6,1043.91,896.45,947.32,617.67,1081.16,756.71,770.6,731.97,1101.5,738.09,1002.08,888.45,750.98,872.33,0,645.63,840.08,966.78,912.92,1106.53,730.65,660.82,885.96,1319.86,809.85,1091.7,1006.15,805.32,1110.53,825.73,847.26,917.53,936.17,691.73,1231.78,770.82,928.53,998.72,1303.24,778.4,616.09,745.49,905.18,763.3,808.17,945.85,631.56,1136.3,1084.21,1037.31,947.4,971.05,778.22,946.08,881.71,1021.54,1060.01,570.55,771.35,667.05,1358.07,665.4,715.16,795.18,816.5,904.81,605.48,887.66,933.01,1078.19,918.42,616.99,1392.18,811.15,990.34,1094.99,1137.04,699,974.65,1199.81,1008.14,896.98,738.98,846.14,869.93,996.01,1387.67,606.21,746.38,1026.66,1244.23,1000.9,812.34,718.23,730.55,587.71,991.77
18:45:08-05,843.31,1049.42,620.27,1189.43,1058.06,707.6,667.72,966,651.85,827.32,909.79,1010.65,929.56,975.07,1104.19,1141.76,965.72,1121.11,1118.55,710.32,755.97,1043.24,5099.38,776.71,204.78,955.32,983.15,748.22,729.25,1026.28,985.85,741.99,763.41,1123.43,1196.29,738.34,690.59,823.98,1136.19,1170.05,804.26,1173.45,1129.99,769.63,916.54,948.99,669.36,968.35,1366.41,1110.75,675.99,1054.01,976.47,1082.4,970.8,1073.26,729.06,686.37,1152.46,763.75,1125.89,666.32,1209.65,1253.24,665.32,793.29,811.08,1367.23,960.56,907.24,954.94,991.7,965.4,834.12,1096.8,844.89,698.22,897.51,739.09,862.15,701.51,1091.07,1087.17,1185.87,768.83,885.13,711.56,1078.31,711.72,736.98,922.71,847.51,1130.84,839.79,810.32,1084.44,777.77,749.26,1125.83,1194.54,824.06,1162.49,1017.25,726.54,758.33,1193.89,634.29,1038.86,910.1,817.18,1082.55,709.85,967.1,821.07,600.16,1045.86,947.76,786.85,878.34,884.18,1062.52,1089.13,932.24,928.31,921.61,1043.92,896.43,947.34,617.69,1081.17,756.71,770.6,731.97,1101.5,738.11,1002.08,888.45,750.98,872.32,0,645.6,840.08,966.77,912.91,1106.52,730.64,660.83,885.95,1319.86,809.87,1091.7,1006.14,805.32,1110.53,825.71,847.25,917.54,936.16,691.74,1231.79,770.82,928.52,998.72,1303.25,778.43,616.07,745.47,905.15,763.3,808.18,945.84,631.57,1136.3,1084.22,1037.31,947.4,971.04,778.22,946.09,881.73,1021.53,1060.02,570.53,771.33,667.03,1358.07,665.39,715.14,795.17,816.49,904.8,605.48,887.65,933.01,1078.19,918.41,616.99,1392.19,811.14,990.35,1094.97,1137.04,698.98,974.64,1199.75,1008.14,896.98,738.97,846.13,869.9,996.09,1387.66,606.2,746.39,1026.66,1244.24,1000.9,812.34,718.24,730.55,587.71,991.77
18:30:07-05,843.31,1049.4,620.27,1189.42,1058.06,707.6,667.71,966,651.82,827.33,909.8,1010.66,929.56,975.06,1104.21,1141.78,965.72,1121.12,1118.55,710.38,755.96,1043.24,5099.36,776.7,204.68,955.32,983.15,748.22,729.25,1026.28,985.84,741.98,763.41,1123.44,1196.29,738.34,690.6,823.99,1136.18,1170.05,804.25,1173.44,1129.98,769.63,916.55,948.99,669.35,968.34,1366.41,1110.75,675.98,1054.01,976.47,1082.4,970.8,1073.25,729.05,686.36,1152.46,763.74,1125.89,666.33,1209.64,1253.24,665.32,793.28,811.09,1367.23,960.56,907.23,954.94,991.69,965.4,834.14,1096.82,844.89,698.22,897.51,739.09,862.16,701.51,1091.06,1087.18,1185.87,768.83,885.13,711.57,1078.3,711.73,736.97,922.71,847.5,1130.84,839.76,810.32,1084.44,777.77,749.26,1125.84,1194.53,824.07,1162.49,1017.25,726.54,758.32,1193.89,634.28,1038.86,910.1,817.19,1082.54,709.84,967.09,821.06,600.15,1045.88,947.75,786.85,878.33,884.17,1062.53,1089.12,932.23,928.3,921.6,1043.92,896.44,947.36,617.71,1081.17,756.71,770.6,731.96,1101.5,738.08,1002.08,888.44,750.97,872.32,0,645.59,840.07,966.78,912.92,1106.52,730.64,660.83,885.96,1319.85,809.87,1091.71,1006.13,805.33,1110.54,825.72,847.26,917.54,936.17,691.73,1231.77,770.82,928.51,998.73,1303.26,778.43,616.06,745.47,905.18,763.31,808.18,945.85,631.57,1136.29,1084.21,1037.32,947.4,971.05,778.22,946.09,881.72,1021.53,1060.01,570.53,771.36,667.03,1358.06,665.4,715.16,795.17,816.5,904.79,605.47,887.64,933.01,1078.18,918.39,616.99,1392.2,811.15,990.33,1094.97,1137.03,698.97,974.63,1199.78,1008.14,896.97,738.98,846.15,869.93,996.08,1387.65,606.2,746.38,1026.66,1244.24,1000.89,812.34,718.23,730.55,587.71,991.77
18:15:06-05,843.29,1049.41,620.26,1189.43,1058.05,707.57,667.71,965.99,651.8,827.33,909.79,1010.66,929.56,975.09,1104.21,1141.76,965.72,1121.09,1118.55,710.47,755.96,1043.23,5101.58,776.7,204.54,955.31,983.16,748.21,729.25,1026.28,985.84,741.98,763.27,1123.44,1196.28,738.35,690.67,823.99,1136.19,1170.04,804.25,1173.45,1129.97,769.63,916.54,948.99,669.35,968.37,1366.42,1110.76,675.99,1054.01,976.46,1082.4,970.8,1073.27,729.06,686.35,1152.46,763.76,1125.89,666.31,1200.58,1253.24,665.32,793.28,811.08,1367.23,960.56,907.24,954.94,991.69,965.39,834.13,1096.79,844.87,698.21,897.49,739.08,862.16,701.51,1091.07,1087.16,1185.85,768.83,885.12,711.57,1078.31,711.73,736.82,922.71,847.5,1130.84,839.74,810.33,1084.45,777.77,749.26,1125.83,1194.53,824.06,1162.5,1017.25,726.53,758.33,1193.91,634.28,1038.86,910.1,817.17,1082.55,709.85,967.09,821.06,600.16,1045.89,947.74,786.85,878.33,884.18,1062.51,1089.11,932.23,928.32,921.61,1043.92,896.45,947.35,617.71,1081.18,756.7,770.6,731.96,1101.5,738.09,1002.08,888.45,750.97,872.32,0,645.6,840.07,966.78,912.93,1106.52,730.64,660.81,885.95,1319.84,809.87,1091.69,1006.14,805.33,1110.54,825.71,847.25,917.55,936.16,691.73,1231.76,770.82,928.51,998.72,1303.25,778.44,616.06,745.46,905.17,763.33,808.14,945.86,631.56,1136.3,1084.22,1037.31,947.4,971.05,778.22,946.08,881.73,1021.53,1060,570.52,771.35,667.02,1358.08,665.4,715.16,795.16,816.5,904.8,605.46,887.65,933.01,1078.2,918.39,616.99,1392.17,811.15,990.34,1094.97,1137.03,698.95,974.64,1199.75,1008.14,896.99,738.98,846.13,869.92,996.08,1387.68,606.2,746.38,1026.66,1244.22,1000.9,812.33,718.25,730.54,587.7,991.79
18:00:04-05,843.3,1049.41,620.26,1189.43,1058.04,707.57,667.72,965.99,651.78,827.33,909.79,1010.66,929.56,975.07,1104.2,1141.77,965.72,1121.12,1118.56,710.34,755.96,1043.24,5099.33,776.7,204.43,955.32,983.15,748.22,729.25,1026.28,985.83,741.98,763.37,1123.43,1196.27,738.35,690.74,823.98,1136.21,1170.04,804.25,1173.45,1129.98,769.63,916.54,948.98,669.35,968.37,1366.39,1110.75,675.99,1054.02,976.45,1082.4,970.8,1073.25,729.06,686.34,1152.46,763.76,1125.89,666.31,1206.61,1253.24,665.35,793.3,811.07,1367.24,960.55,907.24,954.95,991.69,965.39,834.11,1096.79,844.86,698.2,897.48,739.08,862.13,701.51,1091.08,1087.17,1185.86,768.83,885.14,711.56,1078.3,711.74,736.7,922.7,847.5,1130.84,839.75,810.3,1084.44,777.77,749.25,1125.83,1194.54,824.06,1162.52,1017.24,726.53,758.33,1193.89,634.28,1038.84,910.1,817.18,1082.54,709.85,967.09,821.06,600.16,1045.91,947.75,786.86,878.35,884.18,1062.51,1089.11,932.23,928.31,921.59,1043.92,896.44,947.33,617.74,1081.17,756.69,770.6,731.97,1101.48,738.1,1002.09,888.45,750.97,872.31,0,645.62,840.07,966.78,912.93,1106.52,730.63,660.81,885.95,1319.85,809.86,1091.7,1006.14,805.33,1110.54,825.71,847.26,917.54,936.16,691.73,1231.79,770.82,928.5,998.71,1303.25,778.43,616.07,745.46,905.19,763.32,808.16,945.84,631.56,1136.3,1084.21,1037.33,947.4,971.04,778.22,946.09,881.72,1021.53,1060.01,570.51,771.36,667,1358.07,665.4,715.15,795.15,816.5,904.79,605.48,887.64,933.01,1078.19,918.4,616.99,1392.16,811.18,990.33,1094.97,1137.03,698.93,974.62,1199.73,1008.14,896.97,738.97,846.13,869.95,996.06,1387.66,606.21,746.38,1026.65,1244.22,1000.89,812.33,718.21,730.54,587.7,991.78
17:45:03-05,843.3,1049.41,620.24,1189.42,1058.05,707.58,667.73,965.99,651.79,827.33,909.77,1010.66,929.56,975.07,1104.21,1141.76,965.72,1121.12,1118.55,710.41,755.96,1043.22,5101.6,776.71,204.33,955.31,983.14,748.21,729.25,1026.28,985.85,741.98,763.34,1123.46,1196.26,738.34,690.75,823.98,1136.2,1170.05,804.25,1173.44,1129.98,769.64,916.53,948.99,669.34,968.36,1366.38,1110.75,675.98,1054.01,976.46,1082.4,970.79,1073.25,729.06,686.34,1152.46,763.76,1125.89,666.3,1205.11,1253.23,665.34,793.29,811.08,1367.24,960.55,907.24,954.94,991.69,965.39,834.13,1096.8,844.85,698.22,897.47,739.08,862.14,701.5,1091.08,1087.18,1185.87,768.82,885.14,711.56,1078.3,711.74,736.98,922.7,847.5,1130.83,839.74,810.31,1084.44,777.77,749.23,1125.83,1194.54,824.07,1162.5,1017.23,726.52,758.31,1193.89,634.27,1038.86,910.1,817.16,1082.54,709.84,967.08,821.06,600.15,1045.85,947.73,786.87,878.33,884.17,1062.52,1089.12,932.23,928.31,921.56,1043.91,896.45,947.34,617.74,1081.17,756.7,770.58,731.95,1101.49,738.1,1002.08,888.44,750.98,872.31,0,645.63,840.07,966.77,912.92,1106.53,730.64,660.81,885.94,1319.87,809.87,1091.7,1006.14,805.33,1110.53,825.72,847.25,917.54,936.16,691.72,1231.78,770.83,928.49,998.72,1303.27,778.44,616.07,745.47,905.17,763.32,808.16,945.85,631.57,1136.29,1084.23,1037.33,947.4,971.04,778.22,946.08,881.71,1021.53,1060,570.5,771.38,667.03,1358.06,665.4,715.15,795.15,816.5,904.79,605.49,887.64,933.01,1078.17,918.4,616.99,1392.18,811.16,990.34,1094.97,1137.03,698.91,974.61,1199.8,1008.13,896.96,738.97,846.13,869.93,996.08,1387.66,606.22,746.37,1026.66,1244.23,1000.88,812.33,718.24,730.54,587.7,991.75
