"","Times","DRYCRK02","ENISH04","CHQSTCR01","BRSHYCR01","INDIAN02","SOAPCR02","HONEYCR01","ENDWY01","RLSTNCR01","BNNTTCR01","BVRCR01","TIPTNCR01","SQWCR03","SSKNK04","LAKECR01","CRANECR02","YELLOWRV01","TKYRV03","LTLTKY02","PRICECR01","CLRCRK03","WNBGORV01","POUDRERV01","DRYCR02","SKKMCHCK01","ONIONCR01","HRGVCR01","CLRCRKW01","BFFLOCR02","MDCRK01","CRANECR01","FLOYDRV01","OTTERCR01","BLUECR01","MDDLRCCN02","MDDLRCCN03","BEARCRK01","NFCTFSH01","RAVENCR01","CHSLSCR01","WNISH03","NBEARCR01","ENISH05","WFLTLSIOUX01","INDCR03","SHLRK01","SHLRK03","CHQSTCR02","BEVRCRK01","LTLSIOUX04","WLLWCR02","DEERCR01","SHLRK04","OTTRCRK03","OTTRCRK04","SQWCR04","LTLCEDAR02","RHNCR01","SENGLSH01","WNBGORV04","PRICECR02","SFIOWA03","SCHQSTCR01","WNBGORV06","MAPLERV02","DEEPCRK01","OTTRCRK01","INDCR04","FLOYDRV02","PRAIRIE01","FOURMLE03","BEARCREEK01","LNGDCKCR01","MNTGMRY01","NWLNTCR02","CEDARRV04","DRYRNCRK01","INDCR01","LTLWLNT01","CLRCRKS01","WLNTCR02","BFFLOCR01","EFDSMNS01","SBVRCRK01","TRBLSM01","SOAPCR03","UIWARV01","HOOSRCR01","BOONERV01","CLRCRK02","DRYCR01","CEDARRV03","ELKRN01","CEDARRV05","MQKTARV02","DRYCRK01","TIPTNCR02","VLGARV01","RBRTSCR01","SHLRK05","NRCCNRV03","FOURMLE02","LTLSIOUX01","WNISH02","MRGNCR01","TKYRV01","WNBGORV05","SOAPCR01","INDIAN01","MDDLRCCN01","TKYRV02","BEAVER03","WAPSI03","MQKTARV05","MILLERCRK01","SKNKRV01","BRCHFLD01","LTLCEDAR01","LIMECR01","SSKNK03","OTTRCRK02","WNBGORV02","LTLWAPSI01","HEWITTCR01","BEAR01","NFMQKTA02","WOLFCRK01","MQKTARV03","ENISH02","IOWARV01","BEVRCRK02","WALNUTCR01","MUDCR01","CDRCR01","WLLWCR01","WAPSI04","BEAVER01","SQWCR02","RAPIDTRB01","SQWCR01","WLLWCR-IC01","LTLSOAP01","WLNTCR01","COFFINSCR01","WNISH01","EBRBVRDAM01","INDCR02","WFCRKDCR01","EINDNCR01","LTLSIOUX03","NSKNK01","SFIOWA01","SLVRCR01","WLFCR01","WNBGORV03","NWLNTCR01","VLGARV02","ENISH01","LTLTKY01","NENGLSH01","WATERMAN01","CLRCRKS02","SHLRK02","KEGCR01","LTLSIOUX02","SSKNK02","DUCKCR01","SSKNK01","DSMNSRV04","NORTHRV01","NFMQKTA01","HNYCRK01","SUGARCR01","SPRNGCRK01","VLGARV03","BEAVER02","DRNGDTCH01","GRANCRK01","SPRINGCR01","LTLASHER01","COONCR01","DYECRK01","BOYERRV02","MADCRK01","FOURMLE01","CEDARCRK01","OCHYDNRV01","WAPSI02","MCHKNCK01","MQKTARV01","MUDCRK01","MQKTARV04","GRNGRCR01","BLCKHWK01","DSMNSRV02","NRCCNRV02","MSQUTOCR02","SRCCNRV01","MADCRK02","WFKLTSIOUX01","WAPSI05","BRCKCMP01","SLOUGHCR01","ROCKCR02","CLRCRK01","BEAVERCRK01","MAPLERV01","ROGERSCR01","NRCCNRV01","PRAIRIECRK01","RCCNRV01","DSMNSRV01","DSMNSRV03","LTLSIOUX05","CTFSHCR01","WLNTCRK01","ROCKCR01","WBFLOYDRV01","BOYERRV01","CAMPCR01","CEDARRV02","RAPIDCR01","GENEVACR01","MSQUTOCR01"
"1","10:30:06-05",843.3,1049.29,620.29,1189.31,1058.08,707.29,667.73,965.93,651.73,827.23,909.67,1010.69,929.54,975.02,1104.35,1141.9,965.7,1121.09,1118.69,710.32,755.91,1044.97,5099.3,776.71,200.97,955.23,983.7,748.14,729.29,1026.25,985.66,-9999,742,763.42,1123.16,1196.25,738.17,690.49,823.96,1136.94,1169.99,804.2,1173.38,1130.1,769.47,916.65,949.58,669.41,968.33,1366.65,1111.7,676,1054.53,976.56,1082.5,970.75,1073.53,729.02,686.43,1153.46,763.73,1126.13,666.09,1211.6,1253.39,665.29,793.42,811.07,1367.62,960.55,907.07,954.93,991.68,965.32,834.06,1096.72,844.82,698.07,897.44,739.03,861.96,701.5,1090.15,1087.11,1185.77,768.83,885.27,711.53,1078.78,711.56,736.96,922.78,847.5,1130.97,839.61,810.37,1084.44,777.62,749.06,1126.18,1194.97,824.02,1162.27,1017.22,726.54,758.2,1194.95,634.11,1038.79,910.07,816.92,1082.87,709.33,967.04,821.06,599.54,1045.89,947.82,786.84,878.16,884.24,1064.01,1089.23,932.3,928.26,921.57,1043.92,896.31,947.37,617.05,1081.2,756.51,770.6,731.92,1102.67,737.37,1002.24,888.48,750.94,872.15,1,645.87,839.96,966.72,912.85,1108.73,730.6,660.67,885.94,1319.96,809.73,1091.83,1006.09,805.24,1111.75,825.68,846.9,917.52,936.19,691.55,1232.03,770.85,928.69,998.69,1303.5,778.23,616.03,745.21,904.21,762.36,807.98,945.88,631.43,1136.64,1084.27,1037.59,947.38,971.05,778.11,946.09,881.71,1021.49,1059.91,570.26,770.37,666.72,1358.71,664.82,715.1,795.22,816.4,904.59,605.5,552.7,886.47,932.71,1078.23,918.23,617,1392.46,810.77,990.41,1095.32,1137.5,698.75,974.63,1199.64,1008.14,896.54,738.91,846,868.68,995.26,1387.77,606.21,746.33,1027.19,1244.54,1000.78,812.23,717.61,730.42,587.76,991.75
"2","10:15:06-05",843.32,1049.29,620.3,1189.26,1058.09,707.27,667.72,965.95,651.73,827.22,909.65,1010.69,929.54,975.03,1104.35,1141.92,965.7,1121.1,1118.7,710.32,755.91,1044.94,5099.33,776.7,200.98,955.19,983.67,748.13,729.3,1026.26,985.65,-9999,742,763.42,1123.12,1196.25,738.16,690.48,823.96,1136.94,1169.98,804.22,1173.35,1130.08,769.45,916.65,949.52,669.43,968.33,1366.69,1111.69,675.98,1054.52,976.58,1082.48,970.74,1073.53,729.02,686.42,1153.45,763.7,1126.13,665.95,1211.59,1253.37,665.25,793.41,811.08,1367.6,960.55,907.05,954.92,991.66,965.34,834.06,1096.71,844.8,698.06,897.34,739.04,861.89,701.52,1090.15,1087.11,1185.78,768.83,885.29,711.54,1078.78,711.57,736.99,922.78,847.49,1130.98,839.58,810.37,1084.42,777.6,749.02,1126.17,1195,824.03,1162.28,1017.21,726.55,758.21,1194.92,634.1,1038.79,910.04,816.93,1082.86,709.33,966.98,821.06,599.49,1045.91,947.82,786.83,878.15,884.26,1063.99,1089.24,932.3,928.24,921.56,1043.93,896.31,947.37,617.05,1081.19,756.5,770.63,731.92,1102.67,737.37,1002.24,888.47,750.94,872.13,NA,645.75,839.94,966.72,912.85,1108.75,730.6,660.66,885.95,1319.94,809.82,1091.84,1006.09,805.26,1111.75,825.68,846.91,917.57,936.18,691.53,1232.06,770.84,928.67,998.7,1303.46,778.2,616.03,745.21,904.23,762.37,807.98,945.89,631.47,1136.64,1084.25,1037.59,947.38,971.04,778.11,946.11,881.73,1021.5,1059.9,570.31,770.37,666.77,1358.69,664.83,715.09,795.21,816.38,904.61,605.5,552.67,886.43,932.71,1078.22,918.19,617,1392.44,810.72,990.41,1095.33,1137.53,698.74,974.65,1199.61,1008.15,896.51,738.88,845.98,868.67,995.22,1387.77,606.2,746.35,1027.19,1244.52,1000.8,812.22,717.62,730.42,587.75,991.71
"3","10:00:06-05",843.31,1049.28,620.3,1189.24,1058.11,707.29,667.73,965.94,651.73,827.21,909.65,1010.7,929.52,975.03,1104.36,1141.9,965.68,1121.08,1118.7,710.33,755.93,1044.88,5099.35,776.71,200.98,955.15,983.63,748.12,729.29,1026.23,985.64,-9999,742.01,763.4,1123.05,1196.23,738.15,690.5,823.98,1136.95,1169.99,804.23,1173.36,1130.07,769.44,916.61,949.54,669.42,968.34,1366.73,1111.69,676,1054.51,976.56,1082.49,970.74,1073.54,729.03,686.46,1153.45,763.73,1126.11,665.94,1211.6,1253.36,665.27,793.4,811.06,1367.6,960.57,907.01,954.94,991.68,965.33,834.04,1096.69,844.82,698.07,897.39,739.03,861.84,701.52,1090.15,1087.09,1185.83,768.81,885.31,711.53,1078.77,711.54,737.01,922.78,847.5,1130.96,839.56,810.39,1084.42,777.62,749.03,1126.16,1194.99,824,1162.28,1017.22,726.56,758.23,1194.93,634.07,1038.8,910.03,816.91,1082.87,709.31,967.06,821.05,599.44,1045.93,947.78,786.82,878.13,884.24,1063.95,1089.25,932.29,928.27,921.58,1043.92,896.31,947.38,617.04,1081.19,756.52,770.61,731.92,1102.69,737.36,1002.24,888.48,750.96,872.11,NA,645.75,839.93,966.74,912.84,1108.78,730.64,660.66,885.94,1319.95,809.81,1091.82,1006.04,805.26,1111.76,825.67,846.94,917.54,936.13,691.51,1232.04,770.82,928.61,998.7,1303.44,778.2,616.03,745.24,904.21,762.35,807.95,945.89,631.47,1136.64,1084.26,1037.59,947.38,971.06,778.13,946.11,881.72,1021.5,1059.86,570.3,770.39,666.74,1358.68,664.81,715.1,795.19,816.39,904.6,605.5,552.71,886.44,932.67,1078.22,918.15,617.01,1392.44,810.75,990.44,1095.33,1137.51,698.71,974.66,1199.56,1008.15,896.48,738.88,846.01,868.66,995.31,1387.77,606.17,746.33,1027.18,1244.48,1000.77,812.23,717.56,730.43,587.75,991.71
"4","09:45:05-05",843.32,1049.28,620.3,1189.27,1058.11,707.24,667.73,965.93,651.72,827.22,909.63,1010.7,929.52,975.04,1104.34,1141.9,965.68,1121.08,1118.69,710.35,755.9,1044.87,5099.37,776.71,200.99,955.14,983.62,748.12,729.29,1026.23,985.65,-9999,742.02,763.4,1123.04,1196.26,738.18,690.51,823.96,1136.95,1170.02,804.21,1173.35,1130.07,769.42,916.61,949.55,669.41,968.34,1366.68,1111.67,675.99,1054.5,976.59,1082.48,970.74,1073.54,729.02,686.44,1153.43,763.74,1126.14,666.06,1211.59,1253.35,665.29,793.43,811.03,1367.6,960.55,907.02,954.93,991.7,965.29,834.03,1096.69,844.82,698.07,897.33,739.02,861.82,701.52,1090.14,1087.11,1185.81,768.82,885.28,711.52,1078.76,711.55,737.01,922.78,847.5,1130.95,839.53,810.39,1084.42,777.61,748.99,1126.15,1194.98,824.03,1162.27,1017.19,726.56,758.22,1194.93,634.07,1038.79,910.01,816.96,1082.86,709.31,967.05,821.04,599.44,1045.95,947.77,786.83,878.12,884.22,1063.92,1089.24,932.31,928.27,921.57,1043.93,896.31,947.37,617.03,1081.2,756.55,770.62,731.98,1102.68,737.36,1002.23,888.47,750.95,872.11,NA,645.76,839.93,966.74,912.85,1108.82,730.62,660.63,885.95,1319.94,809.78,1091.84,1006.05,805.24,1111.75,825.67,846.96,917.54,936.12,691.5,1232.05,770.85,928.57,998.68,1303.42,778.16,616.04,745.24,904.19,762.34,807.94,945.88,631.44,1136.62,1084.26,1037.58,947.37,971.04,778.14,946.1,881.72,1021.5,1059.83,570.26,770.4,666.75,1358.68,664.81,715.08,795.2,816.39,904.6,605.5,552.68,886.39,932.65,1078.24,918.14,617.01,1392.44,810.73,990.44,1095.33,1137.52,698.72,974.64,1199.58,1008.14,896.42,738.89,846.01,868.6,995.31,1387.76,606.23,746.35,1027.18,1244.47,1000.79,812.18,717.56,730.42,587.74,991.73
"5","09:30:04-05",843.31,1049.27,620.31,1189.26,1058.11,707.25,667.72,965.92,651.73,827.21,909.61,1010.71,929.51,974.99,1104.33,1141.87,965.67,1121.04,1118.7,710.32,755.91,1044.85,5099.4,776.7,200.98,955.16,983.59,748.12,729.29,1026.24,985.67,-9999,742,763.4,1122.97,1196.27,738.16,690.51,823.97,1136.96,1170,804.23,1173.34,1130.05,769.45,916.58,949.56,669.42,968.33,1366.7,1111.65,676,1054.5,976.6,1082.5,970.75,1073.54,729.03,686.44,1153.43,763.72,1126.14,666.04,1211.59,1253.33,665.27,793.42,811.03,1367.59,960.54,907.03,954.93,991.7,965.3,834.01,1096.67,844.82,698.05,897.32,739.03,861.82,701.55,1090.16,1087.12,1185.8,768.82,885.25,711.53,1078.77,711.53,737.02,922.78,847.48,1130.93,839.53,810.37,1084.42,777.62,749.04,1126.15,1194.99,824.02,1162.28,1017.2,726.56,758.22,1194.92,634.07,1038.78,910,816.94,1082.87,709.3,967.06,821.05,599.47,1045.9,947.73,786.83,878.11,884.17,1063.92,1089.22,932.31,928.29,921.59,1043.92,896.32,947.41,617.02,1081.19,756.53,770.64,732.05,1102.68,737.35,1002.22,888.46,750.94,872.11,NA,645.72,839.96,966.77,912.84,1108.84,730.62,660.65,885.93,1319.92,809.76,1091.84,1006.01,805.27,1111.75,825.68,847.01,917.55,936.11,691.52,1232.05,770.82,928.54,998.71,1303.41,778.17,616.03,745.25,904.19,762.31,807.95,945.9,631.47,1136.63,1084.25,1037.59,947.38,971.05,778.14,946.08,881.72,1021.5,1059.81,570.29,770.37,666.79,1358.68,664.83,715.07,795.19,816.38,904.62,605.52,552.64,886.39,932.65,1078.25,918.1,617,1392.44,810.73,990.43,1095.34,1137.54,698.72,974.63,1199.54,1008.14,896.39,738.88,846,868.6,995.24,1387.76,606.17,746.36,1027.23,1244.46,1000.78,812.2,717.61,730.43,587.74,991.71
"6","09:15:04-05",843.34,1049.27,620.31,1189.25,1058.11,707.22,667.73,965.89,651.73,827.22,909.6,1010.69,929.53,975,1104.34,1141.89,965.67,1121.01,1118.69,710.33,755.92,1044.86,5099.42,776.7,200.99,955.14,983.56,748.13,729.3,1026.23,985.67,-9999,742.01,763.37,1122.94,1196.28,738.16,690.53,823.97,1136.97,1169.95,804.22,1173.29,1130.02,769.48,916.6,949.54,669.43,968.33,1366.71,1111.66,675.98,1054.49,976.58,1082.49,970.74,1073.54,729.03,686.44,1153.43,763.72,1126.14,666.15,1211.59,1253.32,665.28,793.41,811.05,1367.59,960.57,907.04,954.91,991.69,965.32,834.06,1096.67,844.81,698.05,897.3,739.04,861.84,701.53,1090.16,1087.11,1185.78,768.81,885.27,711.52,1078.76,711.54,737.01,922.8,847.48,1130.94,839.52,810.38,1084.43,777.63,749.03,1126.11,1195.01,824,1162.29,1017.19,726.58,758.21,1194.91,634.07,1038.78,910,816.96,1082.86,709.31,967.07,821.06,599.47,1045.93,947.73,786.82,878.11,884.14,1063.92,1089.22,932.31,928.29,921.59,1043.89,896.33,947.38,617.01,1081.2,756.57,770.63,732.03,1102.67,737.37,1002.21,888.46,750.94,872.12,NA,645.77,839.95,966.79,912.85,1108.86,730.63,660.64,885.95,1319.92,809.75,1091.79,1005.99,805.26,1111.75,825.68,847.08,917.53,936.11,691.51,1232.05,770.83,928.5,998.72,1303.39,778.17,616.04,745.26,904.16,762.31,807.97,945.9,631.51,1136.63,1084.25,1037.59,947.37,971.05,778.13,946.09,881.73,1021.51,1059.77,570.34,770.39,666.73,1358.66,664.8,715.07,795.18,816.37,904.63,605.57,552.71,886.38,932.62,1078.29,918.07,617.01,1392.41,810.75,990.44,1095.34,1137.54,698.75,974.64,1199.47,1008.14,896.4,738.91,846.01,868.57,995.23,1387.77,606.2,746.35,1027.26,1244.45,1000.79,812.2,717.68,730.43,587.75,991.67
"7","09:00:03-05",843.32,1049.25,620.32,1189.29,1058.13,707.22,667.74,965.91,651.73,827.21,909.6,1010.68,929.52,975,1104.33,1141.89,965.67,1120.99,1118.68,710.34,755.92,1044.87,5099.45,776.71,201.02,955.14,983.57,748.13,729.3,1026.23,985.69,-9999,742.01,763.22,1122.96,1196.27,738.17,690.54,823.98,1136.99,1169.92,804.23,1173.28,1129.98,769.53,916.56,949.55,669.42,968.31,1366.73,1111.65,676,1054.49,976.58,1082.49,970.73,1073.53,729.04,686.44,1153.43,763.74,1126.14,666.11,1211.58,1253.31,665.28,793.42,811.04,1367.58,960.57,907.04,954.91,991.7,965.34,834.05,1096.65,844.8,698.07,897.33,739.04,861.88,701.54,1090.17,1087.1,1185.79,768.83,885.27,711.52,1078.75,711.55,737.03,922.79,847.47,1130.94,839.51,810.37,1084.44,777.64,749.06,1126.12,1194.99,824,1162.31,1017.17,726.56,758.21,1194.91,634.08,1038.77,909.99,816.98,1082.86,709.31,967.07,821.07,599.47,1045.92,947.7,786.82,878.12,884.15,1063.89,1089.21,932.32,928.29,921.61,1043.9,896.36,947.38,617.03,1081.2,756.59,770.62,732.04,1102.67,737.4,1002.21,888.46,750.95,872.1,NA,645.82,839.97,966.82,912.86,1108.89,730.62,660.67,885.95,1319.92,809.77,1091.84,1005.97,805.25,1111.77,825.7,847.17,917.55,936.11,691.53,1232.04,770.85,928.51,998.7,1303.4,778.17,616.04,745.26,904.19,762.32,807.98,945.93,631.48,1136.66,1084.26,1037.58,947.37,971.06,778.13,946.09,881.73,1021.52,1059.74,570.3,770.43,666.71,1358.67,664.8,715.08,795.18,816.39,904.62,605.59,552.73,886.38,932.61,1078.29,918.09,617,1392.41,810.76,990.43,1095.35,1137.56,698.74,974.65,1199.53,1008.13,896.4,738.93,845.99,868.58,995.26,1387.78,606.2,746.34,1027.23,1244.48,1000.8,812.19,717.65,730.43,587.74,991.64
"8","08:45:03-05",843.31,1049.28,620.31,1189.29,1058.1,707.26,667.75,965.92,651.73,827.19,909.61,1010.68,929.52,975.01,1104.33,1141.9,965.67,1121,1118.69,710.35,755.92,1044.89,5103.94,776.71,200.98,955.2,983.57,748.14,729.29,1026.22,985.7,-9999,741.99,763.22,1122.98,1196.27,738.19,690.55,823.98,1136.99,1169.92,804.23,1173.28,1129.97,769.54,916.53,949.54,669.43,968.28,1366.68,1111.65,676,1054.49,976.57,1082.49,970.73,1073.54,729.05,686.44,1153.44,763.76,1126.14,666.13,1211.58,1253.3,665.3,793.42,811.05,1367.59,960.56,907.03,954.9,991.7,965.35,834.06,1096.65,844.81,698.05,897.29,739.05,861.88,701.54,1090.18,1087.11,1185.78,768.81,885.28,711.52,1078.76,711.58,737.03,922.81,847.47,1130.96,839.55,810.37,1084.42,777.67,749.05,1126.11,1195,823.99,1162.28,1017.15,726.57,758.21,1194.91,634.11,1038.73,910.01,817,1082.86,709.33,967.08,821.08,599.49,1045.92,947.72,786.82,878.13,884.13,1063.9,1089.21,932.31,928.31,921.61,1043.87,896.38,947.43,617.05,1081.23,756.61,770.62,732.06,1102.67,737.44,1002.2,888.45,750.94,872.09,NA,645.79,840,966.84,912.87,1108.9,730.63,660.68,885.94,1319.93,809.78,1091.84,1005.97,805.25,1111.78,825.73,847.17,917.53,936.15,691.57,1232.06,770.83,928.5,998.74,1303.41,778.17,616.05,745.26,904.19,762.34,808.01,945.95,631.49,1136.65,1084.25,1037.58,947.37,971.08,778.17,946.1,881.73,1021.51,1059.74,570.38,770.44,666.8,1358.67,664.82,715.09,795.18,816.4,904.65,605.59,552.69,886.4,932.62,1078.28,918.11,617.02,1392.38,810.8,990.44,1095.34,1137.56,698.75,974.65,1199.57,1008.14,896.43,738.95,846.01,868.6,995.31,1387.77,606.22,746.34,1027.25,1244.48,1000.82,812.24,717.65,730.45,587.74,991.6
"9","08:30:02-05",843.31,1049.28,620.32,1189.34,1058.11,707.31,667.76,965.95,651.74,827.2,909.62,1010.67,929.52,975.01,1104.34,1141.91,965.68,1120.99,1118.69,710.34,755.94,1044.9,5099.46,776.71,200.99,955.2,983.59,748.17,729.29,1026.24,985.74,-9999,742,763.24,1123.02,1196.27,738.2,690.56,823.98,1137,1169.94,804.23,1173.31,1129.99,769.58,916.53,949.55,669.43,968.31,1366.75,1111.67,675.99,1054.48,976.6,1082.49,970.75,1073.53,729.04,686.46,1153.45,763.78,1126.16,666.15,1211.57,1253.32,665.32,793.44,811.05,1367.59,960.56,907.02,954.91,991.7,965.37,834.06,1096.64,844.8,698.1,897.3,739.05,861.91,701.5,1090.17,1087.11,1185.86,768.81,885.29,711.52,1078.74,711.58,737.02,922.82,847.47,1130.96,839.58,810.38,1084.42,777.69,749.12,1126.12,1194.97,823.99,1162.29,1017.15,726.57,758.22,1194.9,634.17,1038.74,910.05,817.05,1082.87,709.34,967.1,821.08,599.52,1045.94,947.74,786.84,878.15,884.18,1063.9,1089.21,932.3,928.32,921.62,1043.86,896.37,947.45,617.09,1081.2,756.67,770.62,732.07,1102.66,737.49,1002.2,888.44,750.95,872.08,NA,645.86,840.01,966.84,912.91,1108.92,730.65,660.71,885.93,1319.95,809.8,1091.83,1005.97,805.26,1111.81,825.74,847.2,917.53,936.25,691.58,1232.08,770.84,928.5,998.75,1303.42,778.18,616.07,745.29,904.17,762.35,808.02,945.94,631.51,1136.67,1084.25,1037.58,947.37,971.07,778.17,946.09,881.73,1021.52,1059.77,570.39,770.47,666.85,1358.67,664.84,715.1,795.18,816.41,904.65,605.61,552.76,886.42,932.62,1078.28,918.13,617.03,1392.4,810.81,990.44,1095.34,1137.57,698.77,974.63,1199.63,1008.16,896.46,738.96,846.01,868.63,995.39,1387.77,606.24,746.34,1027.23,1244.53,1000.82,812.27,717.66,730.47,587.76,991.64
"10","08:15:02-05",843.34,1049.33,620.32,1189.42,1058.1,707.4,667.76,965.97,651.74,827.23,909.64,1010.66,929.52,975.01,1104.35,1141.91,965.69,1121.03,1118.71,710.34,755.99,1044.91,5099.42,776.72,201,955.2,983.59,748.18,729.29,1026.27,985.79,-9999,742,763.26,1123.13,1196.28,738.22,690.61,823.97,1137.03,1170.02,804.25,1173.4,1130.08,769.58,916.55,949.53,669.42,968.31,1366.81,1111.68,675.99,1054.5,976.6,1082.49,970.75,1073.52,729.05,686.45,1153.45,763.78,1126.17,666.18,1211.57,1253.34,665.33,793.46,811.07,1367.63,960.55,907.05,954.92,991.7,965.39,834.08,1096.66,844.82,698.13,897.32,739.07,861.95,701.53,1090.19,1087.12,1185.85,768.81,885.29,711.53,1078.76,711.59,737.03,922.83,847.48,1130.99,839.61,810.4,1084.42,777.71,749.18,1126.1,1194.96,824.02,1162.29,1017.16,726.57,758.23,1194.92,634.2,1038.77,910.08,817.09,1082.87,709.36,967.11,821.1,599.53,1045.92,947.76,786.84,878.17,884.23,1063.91,1089.22,932.29,928.35,921.63,1043.88,896.39,947.44,617.13,1081.21,756.71,770.61,732.05,1102.65,737.53,1002.2,888.46,750.96,872.12,NA,645.8,840.02,966.84,912.9,1108.93,730.67,660.73,885.93,1319.95,809.8,1091.82,1005.98,805.26,1111.83,825.74,847.2,917.53,936.24,691.61,1232.08,770.84,928.5,998.74,1303.46,778.2,616.08,745.3,904.16,762.32,808.01,945.92,631.52,1136.69,1084.27,1037.59,947.38,971.08,778.22,946.1,881.73,1021.52,1059.81,570.44,770.49,666.89,1358.68,664.85,715.11,795.18,816.42,904.68,605.64,552.77,886.46,932.64,1078.26,918.15,617.05,1392.39,810.84,990.44,1095.34,1137.58,698.81,974.63,1199.67,1008.17,896.51,738.98,845.99,868.67,995.49,1387.78,606.28,746.35,1027.23,1244.54,1000.83,812.29,717.75,730.49,587.75,991.66
