foreign_id,stage_l,discharge_l
DYECRK01,1021.32,0
DYECRK01,1024.07,94.9965
DYECRK01,1024.98,190.699
DYECRK01,1025.52,271.217
DYECRK01,1026.17,389.521
DYECRK01,1026.54,469.685
DYECRK01,1027.02,584.105
DYECRK01,1027.41,694.64
WOLFCRK01,1045.54,0
WOLFCRK01,1050.46,235.337
WOLFCRK01,1050.95,469.614
WOLFCRK01,1051.12,662.185
WOLFCRK01,1051.4,946.08
WOLFCRK01,1051.62,1173.33
WOLFCRK01,1051.86,1422.79
WOLFCRK01,1052.11,1688.92
MQKTARV03,894.16,0
MQKTARV03,901.317,4977.21
MQKTARV03,903.296,9771.25
MQKTARV03,904.621,13681.9
MQKTARV03,906.401,19283.9
MQKTARV03,907.704,23593.2
MQKTARV03,908.936,27902.4
MQKTARV03,910.563,33935.4
HEWITTCR01,932.185,0
HEWITTCR01,937.757,1138.92
HEWITTCR01,939.995,2467.77
HEWITTCR01,941.11,3575.64
HEWITTCR01,941.891,5126.34
HEWITTCR01,942.341,6359.32
HEWITTCR01,942.591,7656.66
HEWITTCR01,942.797,8967.75
BEAR01,929.232,0
BEAR01,934.535,1259.81
BEAR01,935.432,2504.48
BEAR01,942.017,3480.19
BEAR01,945.61,4823.56
BEAR01,946.811,5864.85
BEAR01,948.011,6979.13
BEAR01,949.261,8124.7
WAPSI03,704.793,0
WAPSI03,714.612,10366.5
WAPSI03,716.98,19469.4
WAPSI03,717.807,25901.4
WAPSI03,718.528,34170.2
WAPSI03,718.995,40531.4
WAPSI03,719.456,47449.7
WAPSI03,719.907,54715
NFMQKTA02,921.982,0
NFMQKTA02,928.908,1808.35
NFMQKTA02,930.799,3752.9
NFMQKTA02,931.452,5325.99
NFMQKTA02,931.986,7496.83
NFMQKTA02,932.223,9203.93
NFMQKTA02,932.344,10993.5
NFMQKTA02,932.874,12793.9
WAPSI04,733.445,0
WAPSI04,743.704,10366.5
WAPSI04,746.387,19469.4
WAPSI04,748.048,25901.4
WAPSI04,750.032,34170.2
WAPSI04,751.459,40531.4
WAPSI04,752.924,47449.7
WAPSI04,754.331,54715
SUGARCR01,632.021,0
SUGARCR01,635.786,182.93
SUGARCR01,637.386,366.213
SUGARCR01,638.489,549.496
SUGARCR01,639.335,732.779
SUGARCR01,641.318,1559.85
SUGARCR01,642.123,2241.77
SUGARCR01,643.192,3213.64
SUGARCR01,643.894,4015.28
SUGARCR01,644.324,4817.98
SUGARCR01,644.599,5669.77
COONCR01,885.433,0
COONCR01,886.904,50
COONCR01,887.291,100
COONCR01,887.899,200
COONCR01,888.425,300
COONCR01,888.874,400
COONCR01,889.245,500
COONCR01,889.427,550
COONCR01,889.597,600
COONCR01,890.618,882
COONCR01,892.316,1957
COONCR01,892.54,2869
COONCR01,892.823,4156
COONCR01,892.917,5185
COONCR01,893.075,6270
COONCR01,893.383,7370
LTLASHER01,948.819,0
LTLASHER01,951.912,110.784
LTLASHER01,953.05,221.568
LTLASHER01,953.906,332.302
LTLASHER01,954.556,443.136
LTLASHER01,955.861,1048.38
LTLASHER01,956.234,1584.06
LTLASHER01,956.669,2358.6
LTLASHER01,956.956,2988.22
LTLASHER01,957.223,3657.82
LTLASHER01,957.476,4340.42
GRANCRK01,970.571,0
GRANCRK01,972.759,87.7216
GRANCRK01,973.568,175.443
GRANCRK01,974.159,263.165
GRANCRK01,974.624,350.887
GRANCRK01,976.36,848.537
